"block_id","user_std","date_clean","lat","long","type_house_std","raise_dog_house","number_dog_house","number_dog_vaccinated_2024","number_dog_vaccinated_sweep"
"1.12.5-68","VP07",2024-12-14 09:08:40.537433,"-16.4894386","-71.492785100000006","C",NA,0,0,0
"1.16.4-92","VP02",2024-12-14 09:08:49.257663,"-16.5274109","-71.482428799999994","LV",NA,0,0,0
"1.16.4-87","VP02",2024-12-14 09:09:00.309453,"-16.527411499999999","-71.482431199999994","LV",NA,0,0,0
"1.12.5-64","VP08",2024-12-14 09:10:05.129543,"-16.488205600000001","-71.491218000000003","P","si",2,0,2
"1.12.5-64","VP08",2024-12-14 09:10:20.794741,"-16.488229400000002","-71.491176999999993","D",NA,0,0,0
"1.12.5-64","VP08",2024-12-14 09:10:26.116278,"-16.488228599999999","-71.491180299999996","LV",NA,0,0,0
"1.12.5-64","VP08",2024-12-14 09:10:30.058881,"-16.4882308","-71.491179700000004","LV",NA,0,0,0
"1.12.5-64","VP08",2024-12-14 09:10:34.233404,"-16.488230300000001","-71.491179900000006","P","no",0,0,0
"1.5.4-12","VP04",2024-12-14 09:10:58.979935,"-16.470877099999999","-71.472167600000006","P","si",4,0,4
"1.16.4-87","VP02",2024-12-14 09:11:04.064264,"-16.5279463","-71.482228300000003","LV",NA,0,0,0
"1.16.4-87","VP02",2024-12-14 09:11:09.46515,"-16.527958399999999","-71.482243699999998","LV",NA,0,0,0
"1.16.4-87","VP02",2024-12-14 09:11:13.615265,"-16.527954300000001","-71.482282799999993","LV",NA,0,0,0
"1.16.4-87","VP02",2024-12-14 09:11:18.365775,"-16.527940699999998","-71.482294999999993","D",NA,0,0,0
"1.16.4-87","VP02",2024-12-14 09:11:23.348284,"-16.527940900000001","-71.482289100000003","D",NA,0,0,0
"1.16.4-87","VP02",2024-12-14 09:11:26.731669,"-16.527941800000001","-71.482284500000006","D",NA,0,0,0
"1.12.1-12","VP01",2024-12-14 09:11:27.981919,"-16.5069737","-71.496019599999997","D",NA,0,0,0
"1.16.4-87","VP02",2024-12-14 09:11:34.382399,"-16.527951600000002","-71.482274099999998","D",NA,0,0,0
"1.16.4-92","VP02",2024-12-14 09:11:41.314884,"-16.527972800000001","-71.482276799999994","P","no",0,0,0
"1.16.14-1","VP02",2024-12-14 09:13:17.633476,"-16.528430100000001","-71.482190900000006","P","si",1,1,0
"1.16.4-87","VP02",2024-12-14 09:13:31.566772,"-16.528407399999999","-71.4822585","LV",NA,0,0,0
"1.16.4-87","VP02",2024-12-14 09:13:37.818343,"-16.5283692","-71.482226400000002","LV",NA,0,0,0
"1.16.4-87","VP02",2024-12-14 09:13:42.051209,"-16.5283692","-71.482226400000002","LV",NA,0,0,0
"1.16.4-87","VP02",2024-12-14 09:13:45.185657,"-16.528356899999999","-71.482206399999995","LV",NA,0,0,0
"1.16.4-87","VP02",2024-12-14 09:13:48.750255,"-16.5283531","-71.482201900000007","D",NA,0,0,0
"1.16.4-87","VP02",2024-12-14 09:13:53.235348,"-16.528348900000001","-71.482197799999994","D",NA,0,0,0
"1.16.4-87","VP02",2024-12-14 09:13:56.251108,"-16.528348900000001","-71.482197799999994","LV",NA,0,0,0
"1.12.1-51","VP01",2024-12-14 09:14:15.22707,"-16.5080049","-71.495509699999999","P","no",0,0,0
"1.5.4-11","VP04",2024-12-14 09:15:08.569693,"-16.470959400000002","-71.472992000000005","C",NA,0,0,0
"1.5.4-12","VP04",2024-12-14 09:15:15.153975,"-16.470917199999999","-71.472978100000006","C",NA,0,0,0
"1.5.4-12","VP04",2024-12-14 09:15:19.83706,"-16.470921799999999","-71.472987500000002","C",NA,0,0,0
"1.5.4-12","VP04",2024-12-14 09:15:28.153682,"-16.470924","-71.472991500000006","C",NA,0,0,0
"1.5.5-4","VP06",2024-12-14 09:15:47.878811,"-16.471198300000001","-71.480803199999997","C",NA,0,0,0
"1.5.5-4","VP06",2024-12-14 09:16:20.62283,"-16.471169199999999","-71.480850099999998","C",NA,0,0,0
"1.5.5-4","VP06",2024-12-14 09:16:53.088231,"-16.470993799999999","-71.481007599999998","P","si",1,1,0
"1.5.4-12","VP04",2024-12-14 09:16:54.014255,"-16.4709404","-71.4730177","C",NA,0,0,0
"1.5.4-12","VP04",2024-12-14 09:16:57.131645,"-16.470811999999999","-71.473344299999994","LV",NA,0,0,0
"1.5.4-11","VP04",2024-12-14 09:17:10.998676,"-16.470847299999999","-71.473368699999995","C",NA,0,0,0
"1.5.5-4","VP06",2024-12-14 09:17:33.102401,"-16.4709453","-71.481033499999995","C",NA,0,0,0
"1.12.5-69","VP07",2024-12-14 09:17:39.185778,"-16.489823900000001","-71.492603799999998","P","si",1,0,1
"1.12.5-60","VP08",2024-12-14 09:18:44.464448,"-16.4879423","-71.491173099999997","P","si",2,2,2
"1.12.5-64","VP08",2024-12-14 09:19:22.010254,"-16.4879639","-71.491135400000005","P","si",2,0,2
"1.12.5-69","VP07",2024-12-14 09:19:25.474144,"-16.489876599999999","-71.492677499999999","C",NA,0,0,0
"1.12.5-69","VP07",2024-12-14 09:19:34.941365,"-16.489884700000001","-71.492657100000002","C",NA,0,0,0
"1.16.11-7","VP03",2024-12-14 09:19:46.965981,"-16.531558799999999","-71.480169099999998","P","si",3,3,3
"1.16.4-105","VP02",2024-12-14 09:19:49.175146,"-16.528052899999999","-71.481247499999995","P","si",1,0,1
"1.5.4-11","VP04",2024-12-14 09:20:00.741486,"-16.4708799","-71.473367499999995","P","si",1,0,1
"1.5.4-11","VP04",2024-12-14 09:20:20.957279,"-16.470877900000001","-71.473372900000001","C",NA,0,0,0
"1.5.4-12","VP04",2024-12-14 09:20:26.457491,"-16.470877699999999","-71.473372999999995","C",NA,0,0,0
"1.16.4-105","VP02",2024-12-14 09:20:26.660075,"-16.5282312","-71.481294700000007","LV",NA,0,0,0
"1.16.4-105","VP02",2024-12-14 09:20:37.660023,"-16.528236100000001","-71.481290799999996","LV",NA,0,0,0
"1.12.1-51","VP01",2024-12-14 09:20:54.060222,"-16.5087498","-71.495456399999995","P","si",1,1,1
"1.16.4-105","VP02",2024-12-14 09:20:55.959577,"-16.528223799999999","-71.481296","LV",NA,0,0,0
"1.16.4-104","VP02",2024-12-14 09:21:03.126262,"-16.528220600000001","-71.481299699999994","C",NA,0,0,0
"1.16.4-104","VP02",2024-12-14 09:21:07.926519,"-16.528220300000001","-71.481298800000005","C",NA,0,0,0
"1.16.4-104","VP02",2024-12-14 09:21:13.625078,"-16.528219799999999","-71.481297900000001","C",NA,0,0,0
"1.16.4-104","VP02",2024-12-14 09:21:19.426243,"-16.5282208","-71.481298899999999","C",NA,0,0,0
"1.5.5-4","VP06",2024-12-14 09:21:24.162128,"-16.4710249","-71.480998499999998","P","si",1,0,1
"1.12.5-69","VP07",2024-12-14 09:22:27.968809,"-16.490357599999999","-71.492579899999996","C",NA,0,0,0
"1.12.5-69","VP07",2024-12-14 09:22:33.218675,"-16.490342800000001","-71.492593200000002","C",NA,0,0,0
"1.12.1-13","VP01",2024-12-14 09:22:56.86594,"-16.509612499999999","-71.494349999999997","D",NA,0,0,0
"1.16.11-7","VP03",2024-12-14 09:23:00.135965,"-16.5315884","-71.480205999999995","P","si",1,1,1
"1.12.1-49","VP01",2024-12-14 09:23:10.967501,"-16.509592000000001","-71.494380699999994","D",NA,0,0,0
"1.16.14-10","VP03",2024-12-14 09:23:12.464634,"-16.531572799999999","-71.480217400000001","P","si",2,2,2
"1.12.1-49","VP01",2024-12-14 09:23:20.331436,"-16.509504199999999","-71.494129599999994","LV",NA,0,0,0
"1.12.1-50","VP01",2024-12-14 09:23:38.973968,"-16.5094095","-71.494147100000006","LV",NA,0,0,0
"1.12.1-50","VP01",2024-12-14 09:23:49.56706,"-16.509608100000001","-71.494415700000005","D",NA,0,0,0
"1.12.5-64","VP08",2024-12-14 09:24:16.40769,"-16.487935100000001","-71.491154699999996","P","si",1,0,1
"1.12.5-64","VP08",2024-12-14 09:24:27.716252,"-16.487917899999999","-71.491128799999998","C",NA,0,0,0
"1.12.5-64","VP08",2024-12-14 09:24:33.586066,"-16.487917700000001","-71.491131100000004","C",NA,0,0,0
"1.5.5-4","VP06",2024-12-14 09:24:47.494162,"-16.471418400000001","-71.480623499999993","C",NA,0,0,0
"1.16.4-105","VP02",2024-12-14 09:25:13.764834,"-16.528026400000002","-71.480784299999996","C",NA,0,0,0
"1.5.5-9","VP06",2024-12-14 09:25:18.912638,"-16.471447900000001","-71.4805408","LV",NA,0,0,0
"1.16.4-105","VP02",2024-12-14 09:25:21.9317,"-16.528053400000001","-71.480777099999997","LV",NA,0,0,0
"1.16.4-105","VP02",2024-12-14 09:25:29.899726,"-16.5280083","-71.480802199999999","D",NA,0,0,0
"1.16.4-104","VP02",2024-12-14 09:25:36.64864,"-16.528018500000002","-71.480814100000003","C",NA,0,0,0
"1.16.4-104","VP02",2024-12-14 09:25:42.899086,"-16.528019","-71.480822900000007","C",NA,0,0,0
"1.5.5-4","VP06",2024-12-14 09:25:43.208345,"-16.471545899999999","-71.480440599999994","D",NA,0,0,0
"1.16.4-104","VP02",2024-12-14 09:25:48.71533,"-16.5280199","-71.480828200000005","LV",NA,0,0,0
"1.16.4-104","VP02",2024-12-14 09:25:58.497829,"-16.528012","-71.480828399999993","C",NA,0,0,0
"1.5.5-4","VP06",2024-12-14 09:26:01.540654,"-16.471571099999998","-71.480395999999999","D",NA,0,0,0
"1.5.4-11","VP04",2024-12-14 09:26:17.397668,"-16.470875100000001","-71.473384699999997","P","si",1,0,0
"1.5.5-4","VP06",2024-12-14 09:26:25.795017,"-16.471703999999999","-71.480312299999994","P","no",0,0,0
"1.5.5-4","VP06",2024-12-14 09:26:47.09257,"-16.471748399999999","-71.480265299999999","LP",NA,0,0,0
"1.12.1-49","VP01",2024-12-14 09:27:02.409593,"-16.5096056","-71.494398099999998","P","si",3,3,1
"1.5.5-4","VP06",2024-12-14 09:27:08.546928,"-16.471806900000001","-71.4801626","C",NA,0,0,0
"1.5.5-4","VP06",2024-12-14 09:27:55.033158,"-16.471965999999998","-71.480173699999995","P","si",1,0,1
"1.16.4-104","VP02",2024-12-14 09:27:59.986266,"-16.528025199999998","-71.480594300000007","P","si",2,2,0
"1.16.4-105","VP02",2024-12-14 09:28:14.603391,"-16.528033499999999","-71.480610900000002","C",NA,0,0,0
"1.16.14-11","VP03",2024-12-14 09:28:17.508077,"-16.531250700000001","-71.481838800000006","P","si",2,1,1
"1.16.4-105","VP02",2024-12-14 09:28:22.468593,"-16.528029499999999","-71.480609400000006","C",NA,0,0,0
"1.16.4-104","VP02",2024-12-14 09:28:29.336249,"-16.5280247","-71.480606899999998","LV",NA,0,0,0
"1.16.4-105","VP02",2024-12-14 09:28:41.636294,"-16.527891499999999","-71.480507599999996","LV",NA,0,0,0
"1.16.4-104","VP02",2024-12-14 09:28:47.270762,"-16.5279034","-71.480517899999995","LV",NA,0,0,0
"1.12.5-69","VP07",2024-12-14 09:30:45.165612,"-16.490264100000001","-71.492579599999999","P","si",5,2,3
