"block_id","user_app","date","lat","long","type_house","raise_dog_house","number_dog_house","number_dog_vaccinated_2024","number_dog_vaccinated_sweep","head_or_observe_dogs_inside_house","multifamily","cluster"
"1.29.32-3","VP06","2024-12-01T08:48:47.809040","-16.303946799999999","-71.616931899999997","P","no",NA,NA,NA,NA,"no","cluster19"
"1.29.46-25","VP08","2024-12-01T08:49:15.429414","-16.3093185","-71.616600399999996","D",NA,NA,NA,NA,NA,"no","cluster19"
"1.29.46-26","VP08","2024-12-01T08:49:29.779153","-16.3093155","-71.616593499999993","C",NA,NA,NA,NA,"no-sabe","no","cluster19"
"1.29.38-10","VP05","2024-12-01T08:50:12.281355","-16.315439099999999","-71.607430500000007","P","si",3,"3",3,NA,"no","cluster19"
"1.29.28-2","VP09","2024-12-01T08:50:26.918432","-16.29806","-71.622161199999994","P","no",NA,NA,NA,NA,"no","cluster19"
"1.29.38-10","VP05","2024-12-01T08:50:24.152041","-16.3154605","-71.607339400000001","C",NA,NA,NA,NA,"no","no","cluster19"
"1.29.38-10","VP05","2024-12-01T08:50:32.130019","-16.315475800000002","-71.607293600000006","LV",NA,NA,NA,NA,NA,"no","cluster19"
"1.29.38-10","VP05","2024-12-01T08:50:35.130294","-16.315475899999999","-71.607289100000003","LV",NA,NA,NA,NA,NA,"no","cluster19"
"1.29.28-2","VP09","2024-12-01T08:50:33.182173","-16.298061199999999","-71.622191400000006","C",NA,NA,NA,NA,"si","no","cluster19"
"1.29.38-10","VP05","2024-12-01T08:50:38.429950","-16.315482200000002","-71.607284300000003","LV",NA,NA,NA,NA,NA,"no","cluster19"
"1.29.28-2","VP09","2024-12-01T08:50:38.361370","-16.298062000000002","-71.622196299999999","C",NA,NA,NA,NA,"si","no","cluster19"
"1.29.38-10","VP05","2024-12-01T08:50:41.939747","-16.3154869","-71.607282900000001","C",NA,NA,NA,NA,"no","no","cluster19"
"1.29.32-4","VP06","2024-12-01T08:50:37.223858","-16.303971099999998","-71.616907999999995","P","no",NA,NA,NA,NA,"no","cluster19"
"1.29.46-26","VP08","2024-12-01T08:50:44.512816","-16.3092972","-71.616569200000001","P","no",NA,NA,NA,NA,"no","cluster19"
"1.29.28-2","VP09","2024-12-01T08:50:44.292351","-16.2980661","-71.622166000000007","C",NA,NA,NA,NA,"si","no","cluster19"
"1.29.71-42","VP10","2024-12-01T08:50:31.698707","-16.298060400000001","-71.626897799999995","P","si",1,"1",1,NA,"no","cluster19"
"1.29.38-10","VP05","2024-12-01T08:50:47.525784","-16.315492800000001","-71.607287499999998","D",NA,NA,NA,NA,NA,"no","cluster19"
"1.29.38-10","VP05","2024-12-01T08:50:53.272064","-16.3154933","-71.607288199999999","D",NA,NA,NA,NA,NA,"no","cluster19"
"1.29.46-25","VP08","2024-12-01T08:50:52.079180","-16.309294099999999","-71.6165673","P","no",NA,NA,NA,NA,"no","cluster19"
"1.29.36-6","VP02","2024-12-01T08:51:23.067280","-16.312795000000001","-71.603262400000006","C",NA,NA,NA,NA,"si","no","cluster19"
"1.29.36-6","VP02","2024-12-01T08:51:30.217098","-16.3128004","-71.603247199999998","C",NA,NA,NA,NA,"si","no","cluster19"
"1.29.46-20","VP08","2024-12-01T08:51:51.180592","-16.3092471","-71.616289899999998","D",NA,NA,NA,NA,NA,"no","cluster19"
"1.29.46-20","VP08","2024-12-01T08:51:59.879705","-16.309209299999999","-71.616335899999996","P","no",NA,NA,NA,NA,"no","cluster19"
"1.29.36-6","VP02","2024-12-01T08:52:02.067234","-16.312793899999999","-71.603170000000006","P","si",2,"2",0,NA,"no","cluster19"
