"DATE";"CLUSTER"
"2024-12-01T10:10:41.531469";"cluster19"
"2024-12-01T10:10:47.679601";"cluster19"
"2024-12-01T10:10:53.269916";"cluster19"
"2024-12-01T10:10:55.318340";"cluster19"
"2024-12-01T10:11:00.620681";"cluster19"
"2024-12-01T10:11:03.297880";"cluster19"
"2024-12-01T10:11:06.752267";"cluster19"
"2024-12-01T10:11:21.173095";"cluster19"
"2024-12-01T10:11:32.416980";"cluster19"
"2024-12-01T10:11:13.212783";"cluster19"
"2024-12-01T10:11:38.283786";"cluster19"
"2024-12-01T10:11:41.578724";"cluster19"
"2024-12-01T10:11:51.189875";"cluster19"
"2024-12-01T10:12:03.513056";"cluster19"
"2024-12-01T10:12:12.733173";"cluster19"
"2024-12-01T10:12:04.094549";"cluster19"
"2024-12-01T10:12:43.636479";"cluster19"
"2024-12-01T10:12:49.445859";"cluster19"
"2024-12-01T10:12:55.380003";"cluster19"
"2024-12-01T10:13:00.876199";"cluster19"
"2024-12-01T10:12:59.695763";"cluster19"
"2024-12-01T10:13:06.186680";"cluster19"
"2024-12-01T10:13:12.167729";"cluster19"
"2024-12-01T10:13:39.644834";"cluster19"
"2024-12-01T10:13:58.254301";"cluster19"
"2024-12-01T10:14:21.374061";"cluster19"
"2024-12-01T10:13:53.789447";"cluster19"
"2024-12-01T10:14:55.006336";"cluster19"
"2024-12-01T10:15:29.315543";"cluster19"
"2024-12-01T10:15:34.662297";"cluster19"
"2024-12-01T10:15:40.210893";"cluster19"
"2024-12-01T10:15:49.180940";"cluster19"
"2024-12-01T10:15:53.527357";"cluster19"
"2024-12-01T10:15:49.600957";"cluster19"
"2024-12-01T10:16:01.488584";"cluster19"
"2024-12-01T10:16:05.698964";"cluster19"
"2024-12-01T10:16:04.533707";"cluster19"
"2024-12-01T10:16:14.096078";"cluster19"
"2024-12-01T10:16:19.413886";"cluster19"
"2024-12-01T10:16:31.127562";"cluster19"
"2024-12-01T10:16:39.050990";"cluster19"
"2024-12-01T10:16:44.650099";"cluster19"
"2024-12-01T10:16:54.435674";"cluster19"
"2024-12-01T10:16:53.205647";"cluster19"
"2024-12-01T10:17:06.963388";"cluster19"
"2024-12-01T10:17:12.477927";"cluster19"
"2024-12-01T10:17:00.496425";"cluster19"
"2024-12-01T10:17:18.468157";"cluster19"
"2024-12-01T10:17:17.598466";"cluster19"
"2024-12-01T10:17:22.565786";"cluster19"
"2024-12-01T10:17:30.815044";"cluster19"
"2024-12-01T10:17:10.500821";"cluster19"
"2024-12-01T10:17:35.210495";"cluster19"
"2024-12-01T10:17:43.110350";"cluster19"
"2024-12-01T10:17:47.262714";"cluster19"
"2024-12-01T10:17:41.745374";"cluster19"
"2024-12-01T10:17:54.176881";"cluster19"
"2024-12-01T10:17:59.040346";"cluster19"
"2024-12-01T10:19:09.752749";"cluster19"
"2024-12-01T10:19:16.943258";"cluster19"
"2024-12-01T10:19:23.679919";"cluster19"
"2024-12-01T10:20:06.878342";"cluster19"
"2024-12-01T10:20:48.954105";"cluster19"
"2024-12-01T10:21:21.438286";"cluster19"
"2024-12-01T10:21:33.861845";"cluster19"
"2024-12-01T10:22:05.965541";"cluster19"
"2024-12-01T10:22:11.825752";"cluster19"
"2024-12-01T10:22:17.876903";"cluster19"
"2024-12-01T10:22:25.808655";"cluster19"
"2024-12-01T10:22:37.879096";"cluster19"
"2024-12-01T10:22:43.199014";"cluster19"
"2024-12-01T10:22:46.482069";"cluster19"
"2024-12-01T10:23:15.018856";"cluster19"
"2024-12-01T10:23:29.427984";"cluster19"
"2024-12-01T10:23:34.851855";"cluster19"
"2024-12-01T10:23:47.369590";"cluster19"
"2024-12-01T10:23:52.314199";"cluster19"
"2024-12-01T10:24:06.658308";"cluster19"
"2024-12-01T10:24:11.557794";"cluster19"
"2024-12-01T10:24:16.059098";"cluster19"
"2024-12-01T10:24:21.061945";"cluster19"
"2024-12-01T10:24:25.562261";"cluster19"
"2024-12-01T10:24:30.052113";"cluster19"
"2024-12-01T10:24:33.957851";"cluster19"
"2024-12-01T10:24:38.089885";"cluster19"
"2024-12-01T10:24:46.006591";"cluster19"
"2024-12-01T10:24:49.138115";"cluster19"
"2024-12-01T10:24:45.767176";"cluster19"
"2024-12-01T10:24:55.884674";"cluster19"
"2024-12-01T10:24:57.044654";"cluster19"
"2024-12-01T10:25:02.691231";"cluster19"
"2024-12-01T10:25:06.931950";"cluster19"
"2024-12-01T10:25:14.554209";"cluster19"
"2024-12-01T10:25:18.559409";"cluster19"
"2024-12-01T10:25:21.969961";"cluster19"
"2024-12-01T10:25:23.529863";"cluster19"
"2024-12-01T10:25:28.046127";"cluster19"
"2024-12-01T10:25:29.761349";"cluster19"
"2024-12-01T10:25:33.593634";"cluster19"
"2024-12-01T10:25:35.717167";"cluster19"
"2024-12-01T10:25:42.182989";"cluster19"
"2024-12-01T10:25:45.498930";"cluster19"
"2024-12-01T10:25:50.422141";"cluster19"
"2024-12-01T10:25:58.029032";"cluster19"
"2024-12-01T10:26:00.909157";"cluster19"
"2024-12-01T10:26:03.450242";"cluster19"
"2024-12-01T10:26:09.356218";"cluster19"
"2024-12-01T10:26:17.717824";"cluster19"
"2024-12-01T10:26:20.723702";"cluster19"
